Price,Manufacturing_year,Engine capacity,KM driven,Ownership,Imperfections,Repainted Parts,Spare key_Yes,Transmission_Manual,Fuel type_Diesel,Fuel type_Petrol
574000,2021,998,39613,1,16,3,True,True,False,False
620000,2022,1197,6992,1,1,2,True,True,False,True
304000,2014,998,42307,1,11,0,True,True,False,True
282000,2017,796,83469,1,2,5,True,True,False,False
1213000,2022,1462,24494,1,1,0,True,False,False,True
1016000,2021,1462,48740,1,0,0,True,True,False,True
476000,2015,1373,85633,1,7,0,True,True,False,True
1155000,2022,1373,20619,1,1,0,False,True,False,False
214000,2014,796,40783,1,3,2,False,True,False,True
207000,2014,998,31827,2,12,4,True,True,False,True
369000,2015,1197,84530,1,18,1,False,True,False,True
454000,2017,1197,49544,2,25,2,True,True,False,True
583000,2020,1197,33723,1,9,0,False,True,False,True
333000,2014,1197,69389,1,10,6,True,True,False,True
378000,2013,1197,33244,1,7,6,True,True,False,True
519000,2017,1197,34196,1,1,0,True,True,False,True
285000,2017,796,76356,1,8,9,False,True,False,False
567000,2016,1373,90742,1,9,3,True,False,False,True
243000,2015,998,51243,2,6,1,False,True,False,True
306000,2014,998,76296,1,18,3,False,False,False,True
388000,2018,998,48605,2,10,2,True,True,False,False
511000,2020,1197,20785,1,3,1,True,True,False,True
270000,2014,998,53375,1,8,1,True,True,False,True
546000,2016,1248,62767,1,9,1,True,True,True,False
665000,2015,1373,31504,1,10,4,False,True,False,False
388000,2017,998,27882,1,16,4,False,True,False,True
390000,2014,1197,42022,1,13,7,True,True,False,True
403000,2017,998,79682,1,17,1,False,True,False,False
366000,2017,998,65289,1,13,0,True,False,False,True
286000,2013,998,80601,1,28,9,False,True,False,False
329000,2014,998,32718,1,15,0,True,False,False,True
521000,2017,1197,77650,1,25,8,False,False,False,True
779000,2021,1197,14683,1,1,0,True,False,False,True
267000,2013,998,75349,2,13,5,False,True,False,False
570000,2021,998,13032,1,4,0,True,True,False,False
488000,2022,998,31772,1,3,0,False,True,False,False
467000,2018,1197,76787,2,6,1,True,False,False,True
689000,2016,1373,69763,1,12,3,True,True,False,False
251000,2016,796,45935,2,19,1,True,True,False,True
497000,2020,998,12950,2,7,2,True,True,False,False
385000,2016,998,90267,2,14,1,False,True,False,False
515000,2017,1197,35708,1,8,6,False,True,False,True
299000,2013,998,44009,1,8,2,False,True,False,True
493000,2016,1197,71405,1,6,2,True,True,False,True
428000,2014,1197,17595,2,0,0,True,True,False,True
385000,2019,796,8064,1,5,2,True,True,False,True
243000,2013,796,90913,1,9,14,True,True,False,False
585000,2021,998,51151,1,3,1,True,True,False,False
351000,2013,1197,87034,2,0,0,False,True,False,True
331000,2017,998,60005,3,4,13,True,True,False,True
470000,2022,998,16213,1,0,0,True,True,False,True
245000,2013,998,18101,1,0,0,True,True,False,True
358000,2015,998,56620,1,6,1,False,True,False,True
612000,2022,1197,7097,1,1,0,True,True,False,True
621000,2017,1197,37274,1,8,2,True,False,False,True
973000,2023,1462,21217,1,1,2,True,True,False,True
409000,2018,1197,54728,1,22,17,False,True,False,True
468000,2015,1197,96263,1,0,0,True,True,False,True
170000,2011,998,123621,2,25,6,False,True,False,True
319000,2015,998,30634,1,10,6,False,False,False,True
